Id,Name,Person_To,Date,Time,Message,Said_Yes,Said_No
1274,Jacob Sears,All Participants,"February 24, 2021",9:04:55 AM,myself,0,0
1275,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:05:21 AM,yep,0,0
1276,Abtin Khodadadi,All Participants,"February 24, 2021",9:06:00 AM,okay,0,0
1277,Wayne Tam,All Participants,"February 24, 2021",9:06:22 AM,yes,1,0
1278,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:06:22 AM,yes,1,0
1279,Sarah Jiang,All Participants,"February 24, 2021",9:07:40 AM,yes,1,0
1280,Abtin Khodadadi,All Participants,"February 24, 2021",9:07:44 AM,accessible,0,0
1281,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:08:03 AM,yep,0,0
1282,Wayne Tam,All Participants,"February 24, 2021",9:08:40 AM,I can access,0,0
1283,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:09:03 AM,okay,0,0
1284,Wayne Tam,All Participants,"February 24, 2021",9:09:07 AM,got it,0,0
1285,Abtin Khodadadi,All Participants,"February 24, 2021",9:10:34 AM,yes,1,0
1286,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:10:35 AM,okay,0,0
1287,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:10:36 AM,Yes,1,0
1288,Wayne Tam,All Participants,"February 24, 2021",9:10:38 AM,yes,1,0
1289,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",9:13:24 AM,yes,1,0
1290,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:13:25 AM,Yep,0,0
1291,Abtin Khodadadi,All Participants,"February 24, 2021",9:13:26 AM,yes,1,0
1292,Abtin Khodadadi,All Participants,"February 24, 2021",9:14:23 AM,yes,1,0
1293,Wayne Tam,All Participants,"February 24, 2021",9:14:25 AM,yes,1,0
1294,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:14:31 AM,yes,1,0
1295,Wayne Tam,All Participants,"February 24, 2021",9:14:58 AM,yes,1,0
1296,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:15:11 AM,yes,1,0
1297,Wayne Tam,All Participants,"February 24, 2021",9:15:50 AM,done,0,0
1298,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:16:32 AM,check now,0,0
1299,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:16:36 AM,I think it should have went through,0,0
1300,Wayne Tam,All Participants,"February 24, 2021",9:16:40 AM,same it should be there,0,0
1301,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:16:42 AM,oh huh,0,0
1302,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:16:44 AM,hello>,0,0
1303,Abtin Khodadadi,All Participants,"February 24, 2021",9:17:24 AM,yes,1,0
1304,Arpit Hasmukhbhai Patel,All Participants,"February 24, 2021",9:17:24 AM,yes,1,0
1305,Aaron Alvarez,All Participants,"February 24, 2021",9:17:36 AM,yes,1,0
1306,Sarah Jiang,All Participants,"February 24, 2021",9:17:42 AM,yes,1,0
1307,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:17:43 AM,yes,1,0
1308,Abtin Khodadadi,All Participants,"February 24, 2021",9:17:49 AM,yes,1,0
1309,Abtin Khodadadi,All Participants,"February 24, 2021",9:18:33 AM,okay,0,0
1310,Abtin Khodadadi,All Participants,"February 24, 2021",9:18:41 AM,done,0,0
1311,Abtin Khodadadi,All Participants,"February 24, 2021",9:22:27 AM,"taks 3 and task4, repeating all questions?",0,0
1312,Abtin Khodadadi,All Participants,"February 24, 2021",9:22:31 AM,"okay, got it",0,0
1313,Abtin Khodadadi,All Participants,"February 24, 2021",9:22:46 AM,awesome,0,0
1314,Abtin Khodadadi,All Participants,"February 24, 2021",9:22:55 AM,Can we help each other?,0,0
1315,Sarah Jiang,All Participants,"February 24, 2021",9:23:08 AM,I feel like the workload of the tasks isn't distributed evenly - task 1 seems to be significantly less work?,0,0
1316,Abtin Khodadadi,All Participants,"February 24, 2021",9:23:21 AM,great,0,0
1317,Sarah Jiang,All Participants,"February 24, 2021",9:23:57 AM,"I see, thanks for the clarification",0,0
1318,Abtin Khodadadi,All Participants,"February 24, 2021",9:24:23 AM,yes,1,0
1319,Arpit Hasmukhbhai Patel,All Participants,"February 24, 2021",9:24:24 AM,yes,1,0
1320,Sarah Jiang,All Participants,"February 24, 2021",9:24:26 AM,yes,1,0
1321,Aaron Alvarez,All Participants,"February 24, 2021",9:24:34 AM,"So, one person doesn't have to do an entire task?",0,0
1322,Abtin Khodadadi,All Participants,"February 24, 2021",9:25:48 AM,Can we talk over Microsoft Teams?,0,0
1323,Abtin Khodadadi,All Participants,"February 24, 2021",9:26:02 AM,thanks,0,0
1324,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:26:15 AM,: ),0,0
1325,Marc Larock,All Participants,"February 24, 2021",9:26:20 AM,yes,1,0
1326,Hamza Waseem,All Participants,"February 24, 2021",9:26:20 AM,yes,1,0
1327,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:26:44 AM,alrighty,0,0
1328,Marc Larock,All Participants,"February 24, 2021",9:26:48 AM,okay,0,0
1329,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:27:01 AM,yeah,0,0
1330,Neeraj k,All Participants,"February 24, 2021",9:33:28 AM,ok,0,0
1331,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:33:32 AM,For the steven spielsberg ,0,0
1332,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:33:50 AM,You want me to count how many movies he has directed out of his preffered genres,0,0
1333,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:33:56 AM,okay ocol,0,0
1334,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:34:36 AM,Will this take the entire day basically?,0,0
1335,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:34:49 AM,Oh okay,0,0
1336,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:35:02 AM,Alrighty.,0,0
1337,Wayne Tam,All Participants,"February 24, 2021",9:35:11 AM,yes,1,0
1338,Wayne Tam,All Participants,"February 24, 2021",9:35:29 AM,yp,0,0
1339,Wayne Tam,All Participants,"February 24, 2021",9:35:32 AM,yep*,0,0
1340,Wayne Tam,All Participants,"February 24, 2021",9:35:59 AM,tes,0,0
1341,Abtin Khodadadi,All Participants,"February 24, 2021",9:39:48 AM,Shall we begin coding @Neeraj?,0,0
1342,Abtin Khodadadi,All Participants,"February 24, 2021",9:39:53 AM,Team 1,0,0
1343,Abtin Khodadadi,All Participants,"February 24, 2021",9:40:07 AM,"I did, okay",0,0
1344,Wayne Tam,All Participants,"February 24, 2021",9:40:20 AM,yes,1,0
1345,Wayne Tam,All Participants,"February 24, 2021",9:40:51 AM,most?,0,0
1346,Wayne Tam,All Participants,"February 24, 2021",9:41:16 AM,sorry internet was cutting out,0,0
1347,Wayne Tam,All Participants,"February 24, 2021",9:43:55 AM,and what?,0,0
1348,Wayne Tam,All Participants,"February 24, 2021",9:48:57 AM,using spark df?,0,0
1349,Abtin Khodadadi,All Participants,"February 24, 2021",9:50:06 AM,3:30 Pm EST?,0,0
1350,Abtin Khodadadi,All Participants,"February 24, 2021",9:50:40 AM,"okay, good. Shall I report taks by task?",0,0
1351,Abtin Khodadadi,All Participants,"February 24, 2021",9:52:07 AM,okay,0,0
1352,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:53:00 AM,Should we upload documents when they finish or all at once?,0,0
1353,Leonardo A Lamboglia,All Participants,"February 24, 2021",9:54:47 AM,Alrighty,0,0
1354,Abtin Khodadadi,All Participants,"February 24, 2021",9:54:50 AM,yes,1,0
1355,Wayne Tam,All Participants,"February 24, 2021",9:54:55 AM,yes,1,0
1356,Wayne Tam,All Participants,"February 24, 2021",9:56:03 AM,Team 3 ,0,0
1357,Wayne Tam,All Participants,"February 24, 2021",9:56:13 AM,check the team task spreadsheet,0,0
1358,Wayne Tam,All Participants,"February 24, 2021",9:56:22 AM,I assigned your task ,0,0
1359,Neeraj k,All Participants,"February 24, 2021",10:33:05 AM,@Wayne: can you please update the Team task sheet ?,0,0
1360,Neeraj k,All Participants,"February 24, 2021",10:33:34 AM,i don't see the required list of things asked. Please update,0,0
1361,Wayne Tam,All Participants,"February 24, 2021",10:33:50 AM,with?,0,0
1362,Wayne Tam,All Participants,"February 24, 2021",10:34:07 AM,oh I have another spreadsheet,0,0
1363,Wayne Tam,All Participants,"February 24, 2021",10:34:14 AM,its based on teh task doc,0,0
1364,Wayne Tam,All Participants,"February 24, 2021",10:34:36 AM,ya I will update,0,0
1365,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",11:19:24 AM,"@Neeraj Team 3 had a question on one of our tasks, are you available Neeraj?",0,0
1366,Neeraj k,All Participants,"February 24, 2021",11:19:54 AM,yes,1,0
1367,Neeraj k,All Participants,"February 24, 2021",11:19:59 AM,please ask,0,0
1368,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",11:20:42 AM,"If you go to our task page, for #12: Do you mean one person with highest salary or a list of all foreigners",0,0
1369,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",11:20:45 AM,?,0,0
1370,Neeraj k,All Participants,"February 24, 2021",11:21:02 AM,the list.,0,0
1371,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",11:21:15 AM,okay thank you,0,0
1372,Neeraj k,All Participants,"February 24, 2021",11:21:19 AM,ok,0,0
1373,Aaron Alvarez,All Participants,"February 24, 2021",11:49:45 AM,"Hey Neeraj, Team 1, question 1 which product was most ordered. Is that done taking into consideration the quantities in each order?",0,0
1374,Neeraj k,All Participants,"February 24, 2021",11:50:32 AM,yes,1,0
1375,Aaron Alvarez,All Participants,"February 24, 2021",11:50:51 AM,But that is similar to question 4,0,0
1376,Aaron Alvarez,All Participants,"February 24, 2021",11:51:13 AM,Question 4: which had the most number of quantities been sold?,0,0
1377,Aaron Alvarez,All Participants,"February 24, 2021",11:51:50 AM,how is question 4 done in this case?,0,0
1378,Neeraj k,All Participants,"February 24, 2021",11:55:24 AM,q 4 is just one product,0,0
1379,Neeraj k,All Participants,"February 24, 2021",11:55:29 AM,the previous one is a list,0,0
1380,Aaron Alvarez,All Participants,"February 24, 2021",11:55:35 AM,Thank you,0,0
1381,Hamza Waseem,All Participants,"February 24, 2021",12:13:49 PM,yes,1,0
1382,Wayne Tam,All Participants,"February 24, 2021",12:13:49 PM,yes,1,0
1383,Jacob Sears,All Participants,"February 24, 2021",12:13:49 PM,yes,1,0
1384,Leonardo A Lamboglia,All Participants,"February 24, 2021",12:13:50 PM,yes,1,0
1385,Abtin Khodadadi,All Participants,"February 24, 2021",12:13:50 PM,yes,1,0
1386,Rain Sung,All Participants,"February 24, 2021",12:13:51 PM,yes,1,0
1387,Aaron Alvarez,All Participants,"February 24, 2021",12:13:52 PM,yes,1,0
1388,Sarah Jiang,All Participants,"February 24, 2021",12:13:54 PM,yes,1,0
1389,Marc Larock,All Participants,"February 24, 2021",12:13:59 PM,yes,1,0
1390,Aaron Alvarez,All Participants,"February 24, 2021",12:14:19 PM,ok,0,0
1391,Leonardo A Lamboglia,All Participants,"February 24, 2021",12:14:28 PM,alrighty,0,0
1392,Wayne Tam,All Participants,"February 24, 2021",1:11:52 PM,yes,1,0
1393,Aaron Alvarez,All Participants,"February 24, 2021",1:11:53 PM,yes,1,0
1394,Jacob Sears,All Participants,"February 24, 2021",1:11:55 PM,yes,1,0
1395,Hamza Waseem,All Participants,"February 24, 2021",1:11:58 PM,yes,1,0
1396,Leonardo A Lamboglia,All Participants,"February 24, 2021",1:11:59 PM,yes,1,0
1397,Marc Larock,All Participants,"February 24, 2021",1:12:00 PM,yes,1,0
1398,Wayne Tam,All Participants,"February 24, 2021",1:12:28 PM,Updating,0,0
1399,Leonardo A Lamboglia,All Participants,"February 24, 2021",1:12:28 PM,will do,0,0
1400,Wayne Tam,All Participants,"February 24, 2021",1:13:06 PM,"updated, we have 2 done and 2 pending ",0,0
1401,Neeraj k,All Participants,"February 24, 2021",1:13:27 PM,ok,0,0
1402,Neeraj k,All Participants,"February 24, 2021",1:15:50 PM,thanks,0,0
1403,Abtin Khodadadi,All Participants,"February 24, 2021",1:17:43 PM,"We have done with the coding, we're applying one correction and completing our documentation.",0,0
1404,Neeraj k,All Participants,"February 24, 2021",1:18:39 PM,@Abtin: please prepare your team for a quick presentation on the task they have done,0,0
1405,Neeraj k,All Participants,"February 24, 2021",1:18:57 PM,@Leo and @Wayne: please do the same,0,0
1406,Abtin Khodadadi,All Participants,"February 24, 2021",1:19:02 PM,"Okay, how much time do we have?",0,0
1407,Leonardo A Lamboglia,All Participants,"February 24, 2021",1:19:04 PM,will do,0,0
1408,Neeraj k,All Participants,"February 24, 2021",1:19:15 PM,we have an hour,0,0
1409,Neeraj k,All Participants,"February 24, 2021",1:19:37 PM,please make sure all the code and o/p screen shots are in place,0,0
1410,Neeraj k,All Participants,"February 24, 2021",1:19:46 PM,on the drive ,0,0
1411,Wayne Tam,All Participants,"February 24, 2021",2:01:29 PM,its updated,0,0
1412,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:01:34 PM,debugging still,0,0
1413,Abtin Khodadadi,All Participants,"February 24, 2021",2:02:16 PM,What should team leads present?,0,0
1414,Abtin Khodadadi,All Participants,"February 24, 2021",2:02:19 PM,okay,0,0
1415,Abtin Khodadadi,All Participants,"February 24, 2021",2:02:50 PM,okay,0,0
1416,Jacob Sears,All Participants,"February 24, 2021",2:03:41 PM,sounds good,0,0
1417,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:11:57 PM,"i'm having some weird issues, it's not allowing me to collect the RDD after its been made",0,0
1418,Neeraj k,All Participants,"February 24, 2021",2:12:27 PM,that must be 'cos you of cache memory,0,0
1419,Neeraj k,All Participants,"February 24, 2021",2:12:45 PM,just copy the code to the new file and check ,0,0
1420,Neeraj k,All Participants,"February 24, 2021",2:12:48 PM,and run ,0,0
1421,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:12:58 PM,okay.,0,0
1422,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:13:53 PM,That didn't help : (,0,0
1423,Neeraj k,All Participants,"February 24, 2021",2:14:37 PM,"umm, let me check once you are done with the assignemnt ",0,0
1424,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:14:42 PM,okay thank you,0,0
1425,Neeraj k,All Participants,"February 24, 2021",2:14:49 PM,In the meanwhilte try using a data frame,0,0
1426,Abtin Khodadadi,All Participants,"February 24, 2021",2:33:08 PM,sure,0,0
1427,Abtin Khodadadi,All Participants,"February 24, 2021",2:33:50 PM,can you hear me?,0,0
1428,Rain Sung,All Participants,"February 24, 2021",2:33:56 PM,no,0,1
1429,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:34:00 PM,We can hear you rustling,0,0
1430,Abtin Khodadadi,All Participants,"February 24, 2021",2:34:04 PM,"oh again, Ihave the same problem",0,0
1431,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:34:21 PM,that's... really weird,0,0
1432,Leonardo A Lamboglia,All Participants,"February 24, 2021",2:34:35 PM,"We can't hear you if you're talking, but we heard you clicking?",0,0
1433,Sarah Jiang,All Participants,"February 24, 2021",2:34:38 PM,Do you maybe have headphones you could try using? They usually have mics,0,0
1434,Abtin Khodadadi,All Participants,"February 24, 2021",2:34:38 PM,It's not working...,0,0
1435,Abtin Khodadadi,All Participants,"February 24, 2021",2:34:56 PM,I'm now trying headset,0,0
1436,Neeraj k,All Participants,"February 24, 2021",2:36:12 PM,I will be on mute,0,0
1437,Neeraj k,All Participants,"February 24, 2021",2:49:19 PM,nope,0,0
1438,Neeraj k,All Participants,"February 24, 2021",2:49:28 PM,great,0,0
1439,Neeraj k,All Participants,"February 24, 2021",2:50:48 PM,ok,0,0
1440,Sarah Jiang,All Participants,"February 24, 2021",3:06:27 PM,Im going next,0,0
1441,Abtin Khodadadi,All Participants,"February 24, 2021",3:21:22 PM,yes,1,0
1442,Abtin Khodadadi,All Participants,"February 24, 2021",3:21:45 PM,yes,1,0
1443,Leonardo A Lamboglia,All Participants,"February 24, 2021",3:22:05 PM,sure,0,0
1444,Abtin Khodadadi,All Participants,"February 24, 2021",3:22:14 PM,Who evaluates me? :),0,0
1445,Neeraj k,All Participants,"February 24, 2021",3:22:43 PM,I shall do that ,0,0
1446,Neeraj k,All Participants,"February 24, 2021",3:22:52 PM,I will evaluate the Team Leads ,0,0
1447,Leonardo A Lamboglia,All Participants,"February 24, 2021",3:53:01 PM,We cab se eut,0,0
1448,Marc Larock,All Participants,"February 24, 2021",3:59:42 PM,that's me,0,0
1449,Abtin Khodadadi,All Participants,"February 24, 2021",4:07:28 PM,Great job Team 2. Your tasks weren't easy ones.,0,0
1450,Hamza Waseem,All Participants,"February 24, 2021",4:07:54 PM,Thanks Abtin!,0,0
1451,Wayne Tam,All Participants,"February 24, 2021",4:07:59 PM,yes,1,0
1452,Rain Sung,All Participants,"February 24, 2021",4:10:57 PM,I can go after you Wayne,0,0
1453,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",4:28:04 PM,jacob,0,0
1454,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",4:28:06 PM,sounds good,0,0
1455,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",4:28:45 PM,yes,1,0
1456,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:28:46 PM,yeah,0,0
1457,Hamza Waseem,All Participants,"February 24, 2021",4:28:46 PM,"yes, very helpful",0,0
1458,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:28:55 PM,Gteting hands dirty is nice,0,0
1459,Aaron Alvarez,All Participants,"February 24, 2021",4:28:56 PM,"yeah, it's very helpful",0,0
1460,Marc Larock,All Participants,"February 24, 2021",4:28:56 PM,i think it's helping,0,0
1461,Sarah Jiang,All Participants,"February 24, 2021",4:28:56 PM,They definetly make you think,0,0
1462,Aaron Alvarez,All Participants,"February 24, 2021",4:30:24 PM,like pair programming?,0,0
1463,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",4:31:05 PM,woah,0,0
1464,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:31:19 PM,***,0,0
1465,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",4:31:25 PM,*****,0,0
1466,Aaron Alvarez,All Participants,"February 24, 2021",4:31:48 PM,******,0,0
1467,Abtin Khodadadi,All Participants,"February 24, 2021",4:31:58 PM,Thanks ****,0,0
1468,Arpit Hasmukhbhai Patel,All Participants,"February 24, 2021",4:32:08 PM,********,0,0
1469,Aaron Alvarez,All Participants,"February 24, 2021",4:32:08 PM,********,0,0
1470,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:32:11 PM,******,0,0
1471,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:32:11 PM,*,0,0
1472,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:32:11 PM,*,0,0
1473,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:32:12 PM,8,0,0
1474,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:32:12 PM,8*,0,0
1475,Sarah Jiang,All Participants,"February 24, 2021",4:32:13 PM,***** ,0,0
1476,Hamza Waseem,All Participants,"February 24, 2021",4:32:16 PM,*****,0,0
1477,Miguel Angel Garza Robledo,All Participants,"February 24, 2021",4:32:41 PM,Thank you!,0,0
1478,Leonardo A Lamboglia,All Participants,"February 24, 2021",4:32:55 PM,Have a good night1,0,0
1479,Hamza Waseem,All Participants,"February 24, 2021",4:33:00 PM,Thank you!,0,0
1480,Abtin Khodadadi,All Participants,"February 24, 2021",4:33:07 PM,Thank you! bye,0,0
1481,super user043,All Participants,"March 4, 2021",8:58:49 AM,"Hello everyone, Happy Morning.",0,0
1482,Marc Larock,All Participants,"March 4, 2021",9:01:14 AM,hi,0,0
1483,Sarah Jiang,All Participants,"March 4, 2021",9:01:14 AM,yes,1,0
1484,Hamza Waseem,All Participants,"March 4, 2021",9:01:16 AM,yes,1,0
1485,Aaron Alvarez,All Participants,"March 4, 2021",9:01:17 AM,yes,1,0
1486,Miguel Angel Garza Robledo,All Participants,"March 4, 2021",9:01:29 AM,yes,1,0
1487,Marc Larock,All Participants,"March 4, 2021",9:01:39 AM,no issues here.,0,1
1488,Hamza Waseem,All Participants,"March 4, 2021",9:01:51 AM,working fine,0,0
1489,Leonardo A Lamboglia,All Participants,"March 4, 2021",9:01:53 AM,all is well,0,0
1490,Sarah Jiang,All Participants,"March 4, 2021",9:02:01 AM,it looks good to me ,0,0
1491,Aaron Alvarez,All Participants,"March 4, 2021",9:02:02 AM,all good,0,0
1492,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",9:02:08 AM,working fine,0,0
1493,Abtin Khodadadi,All Participants,"March 4, 2021",9:02:15 AM,working fine,0,0
1494,Rain Sung,All Participants,"March 4, 2021",9:02:16 AM,seems fine to me,0,0
1495,Miguel Angel Garza Robledo,All Participants,"March 4, 2021",9:02:18 AM,no issue,0,1
1496,Neeraj k,All Participants,"March 4, 2021",9:02:43 AM,https://drive.google.com/drive/u/0/folders/1slxniVsgqruDulGCMxnrocg_gvCV-NK0,0,0
1497,Aaron Alvarez,All Participants,"March 4, 2021",9:02:59 AM,yes,1,0
1498,Aaron Alvarez,All Participants,"March 4, 2021",9:03:06 AM,sure,0,0
1499,Jacob Sears,All Participants,"March 4, 2021",9:15:24 AM,yes,1,0
1500,Hamza Waseem,All Participants,"March 4, 2021",9:15:26 AM,yes,1,0
1501,Aaron Alvarez,All Participants,"March 4, 2021",9:15:26 AM,yes,1,0
1502,Marc Larock,All Participants,"March 4, 2021",9:15:26 AM,yes ,1,0
1503,Abtin Khodadadi,All Participants,"March 4, 2021",9:15:26 AM,yes,1,0
1504,Sarah Jiang,All Participants,"March 4, 2021",9:15:31 AM,yes,1,0
1505,Miguel Angel Garza Robledo,All Participants,"March 4, 2021",9:15:37 AM,yes,1,0
1506,Leonardo A Lamboglia,All Participants,"March 4, 2021",9:19:53 AM,looks like a bug,0,0
1507,Marc Larock,All Participants,"March 4, 2021",9:21:15 AM,yes,1,0
1508,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",9:21:17 AM,yes,1,0
1509,Jacob Sears,All Participants,"March 4, 2021",9:21:18 AM,yep,0,0
1510,Hamza Waseem,All Participants,"March 4, 2021",9:21:18 AM,yes,1,0
1511,Leonardo A Lamboglia,All Participants,"March 4, 2021",9:21:21 AM,yes,1,0
1512,Sarah Jiang,All Participants,"March 4, 2021",9:21:24 AM,yes,1,0
1513,Marc Larock,All Participants,"March 4, 2021",9:21:57 AM,sure,0,0
1514,Abtin Khodadadi,All Participants,"March 4, 2021",9:21:58 AM,yes,1,0
1515,Jacob Sears,All Participants,"March 4, 2021",9:22:00 AM,yes,1,0
1516,Sarah Jiang,All Participants,"March 4, 2021",9:22:00 AM,yes,1,0
1517,Marc Larock,All Participants,"March 4, 2021",9:22:49 AM,sounds good.,0,0
1518,Marc Larock,All Participants,"March 4, 2021",9:26:19 AM,yes.,0,0
1519,Sarah Jiang,All Participants,"March 4, 2021",9:26:20 AM,yes,1,0
1520,Leonardo A Lamboglia,All Participants,"March 4, 2021",9:26:20 AM,yes,1,0
1521,Hamza Waseem,All Participants,"March 4, 2021",9:26:20 AM,yes,1,0
1522,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",9:26:21 AM,yes,1,0
1523,Abtin Khodadadi,All Participants,"March 4, 2021",9:26:21 AM,yes,1,0
1524,Jacob Sears,All Participants,"March 4, 2021",9:26:21 AM,tes,0,0
1525,Jacob Sears,All Participants,"March 4, 2021",9:26:29 AM,*yes,0,0
1526,Marc Larock,All Participants,"March 4, 2021",9:40:44 AM,no questions.,0,1
1527,Hamza Waseem,All Participants,"March 4, 2021",9:40:48 AM,no questions,0,1
1528,Sarah Jiang,All Participants,"March 4, 2021",9:40:50 AM,no questions,0,1
1529,Jacob Sears,All Participants,"March 4, 2021",9:42:05 AM,yes,1,0
1530,Marc Larock,All Participants,"March 4, 2021",9:42:05 AM,yes.,0,0
1531,Abtin Khodadadi,All Participants,"March 4, 2021",9:42:07 AM,yes,1,0
1532,Marc Larock,All Participants,"March 4, 2021",9:50:12 AM,yes,1,0
1533,Hamza Waseem,All Participants,"March 4, 2021",9:50:13 AM,yes,1,0
1534,Marc Larock,All Participants,"March 4, 2021",9:51:58 AM,yes,1,0
1535,Marc Larock,All Participants,"March 4, 2021",9:52:05 AM,i think so.,0,0
1536,Abtin Khodadadi,All Participants,"March 4, 2021",9:52:06 AM,yes,1,0
1537,Aaron Alvarez,All Participants,"March 4, 2021",9:52:06 AM,yes,1,0
1538,Marc Larock,All Participants,"March 4, 2021",9:52:57 AM,yes,1,0
1539,Jacob Sears,All Participants,"March 4, 2021",9:52:57 AM,yes,1,0
1540,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",9:52:58 AM,yes,1,0
1541,Miguel Angel Garza Robledo,All Participants,"March 4, 2021",9:53:00 AM,yes,1,0
1542,Sarah Jiang,All Participants,"March 4, 2021",9:53:02 AM,yes,1,0
1543,Marc Larock,All Participants,"March 4, 2021",9:53:38 AM,none for me now.,0,0
1544,Marc Larock,All Participants,"March 4, 2021",9:55:42 AM,partitions ,0,0
1545,Jacob Sears,All Participants,"March 4, 2021",9:55:43 AM,# of partitions,0,0
1546,Marc Larock,All Participants,"March 4, 2021",9:58:45 AM,yes,1,0
1547,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",9:58:47 AM,yes,1,0
1548,Abtin Khodadadi,All Participants,"March 4, 2021",9:58:48 AM,clear,0,0
1549,Marc Larock,All Participants,"March 4, 2021",9:59:21 AM,amongst three partitions.,0,0
1550,Marc Larock,All Participants,"March 4, 2021",9:59:31 AM,yes,1,0
1551,Marc Larock,All Participants,"March 4, 2021",10:00:15 AM,yes,1,0
1552,Jacob Sears,All Participants,"March 4, 2021",10:00:20 AM,yes,1,0
1553,Sarah Jiang,All Participants,"March 4, 2021",10:00:21 AM,yes,1,0
1554,Marc Larock,All Participants,"March 4, 2021",10:01:39 AM,is it kind of like a master node?,0,0
1555,Marc Larock,All Participants,"March 4, 2021",10:01:52 AM,okay.,0,0
1556,Marc Larock,All Participants,"March 4, 2021",10:02:15 AM,okay. makes sense.,0,0
1557,Marc Larock,All Participants,"March 4, 2021",10:04:39 AM,probably.,0,0
1558,Marc Larock,All Participants,"March 4, 2021",10:05:19 AM,yes.,0,0
1559,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",10:05:21 AM,yes,1,0
1560,Leonardo A Lamboglia,All Participants,"March 4, 2021",10:05:22 AM,yes,1,0
1561,Jacob Sears,All Participants,"March 4, 2021",10:05:24 AM,yea,0,0
1562,Hamza Waseem,All Participants,"March 4, 2021",10:05:25 AM,yes,1,0
1563,Sarah Jiang,All Participants,"March 4, 2021",10:05:29 AM,yes no questions,1,1
1564,Marc Larock,All Participants,"March 4, 2021",10:20:54 AM,yes,1,0
1565,Aaron Alvarez,All Participants,"March 4, 2021",10:20:56 AM,yes,1,0
1566,Hamza Waseem,All Participants,"March 4, 2021",10:20:56 AM,yes,1,0
1567,Arpit Hasmukhbhai Patel,All Participants,"March 4, 2021",10:20:57 AM,yes,1,0
1568,Wayne Tam,All Participants,"March 4, 2021",10:20:59 AM,yes,1,0
1569,Sarah Jiang,All Participants,"March 4, 2021",10:20:59 AM,yes,1,0
1570,Abtin Khodadadi,All Participants,"March 4, 2021",10:21:01 AM,yes,1,0
1571,Miguel Angel Garza Robledo,All Participants,"March 4, 2021",10:21:12 AM,yes,1,0
1572,Marc Larock,All Participants,"March 4, 2021",10:26:17 AM,can you go over round robin breifly?,0,0
1573,Marc Larock,All Participants,"March 4, 2021",10:28:37 AM,okay.,0,0
1574,Marc Larock,All Participants,"March 4, 2021",10:31:53 AM,okay. thanks.,0,0
